index:ID,name,作   者,作者机构,关键词,期刊名称,i s s n,年卷期,页   码,摘   要,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40001,大荔日光温室冬枣生产技术,郭文侠; ,陕西省大荔县设施农业发展中心; ,,西北园艺(综合),1004-4183,2020 年 01 期,29-31,"1棚体建造1.1选址适宜日光温室冬枣生产的建棚地址应为地面开阔、避风向阳、无高大树木和建筑物遮阴的场地,同时要求土壤肥沃、排水灌溉方便、水质良好、交通便利、供电方便。1.2规划温室前后应设置排水沟,前后棚之间要设计合理的棚间距,主干道两侧设置排水道,排水沟与主干道连接,确保雨水顺畅排除。有条件的可在地下深埋暗管或用机械排水。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40002,乐陵金丝小枣无公害丰产栽培措施,张秀花;  李真;  向小林; ,山东省德州市林业局;, ,河北果树,1006-9402,2017 年 06 期,43-45,"1建园1.1园地选择枣树属浅根性强喜光树种,建园时选择无农药残留、地形开阔、土壤肥沃、渗透性强、通气性好、地下水位较高的砂壤土或壤土建园。土壤p H值小于8.4,含盐量小于0.3%。建园前对园区道路、排灌系统、防护林、建筑物等进行统一规划。1.2品种及苗木选择选择优良品种金丝小枣新1号、新2号、新3号、新4号,乐陵金丝小枣金1号、金2号,乐陵无核金丝小枣1号、2号。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40003,果园土壤改良三措施,翟洪民; ,山东省枣庄市山亭区农业局; ,,烟台果树,1005-9938,2007 年 04 期,51,"改良土壤的理化性质,增加土壤有机质含量是果树定植前的重要工作,对以后果树的生长发育将产生重要影响。1改良沙荒地沙荒地地面高低不平,土壤有机质含量低,保水保肥力差。因此必须进行平整改良,改善土...",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40004,新建枣园定植技术,王守魁; ,,,甘肃农业科技,1001-1463,1991 年 04 期,28,"1.园地选择:枣树的适应性较强,但在土壤疏松、土层深厚、肥水充足的条件下生长发育会更良好。有计划地在耕地栽种枣树,实行枣粮间作,是发展立体农业、增产增收、建设新枣园的有效途径。沙荒地和新开发地区建园时,应先种植绿肥作物,或采取施用有机肥料、深翻熟化等土壤改良措施,并要做好整地、渠系配套、林带建设和肥料准备等工作。渠系、田间地埂和庭院四旁也是发展枣树的理想地带。可充分利用土地和光热资源,利于建设多功能、高效益的复合林果业商品生产基地。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40005,枣园管理技术,韩俊; ,临夏州农业学校; ,,农业科技与信息,1003-6997,2007 年 10 期,27-28,"1土壤管理1.1土壤改良丘陵山地枣园采用整修梯田、鱼鳞坑和挖水平沟等工程措施,积蓄雨水、减少径流量,并结合种草、营造防护林等生物措施防止水土流失,蓄水保肥,改良枣园内土壤状况。沙荒地及土层瘠薄的枣园,分别采用广种绿肥、深翻施肥和引洪积淤、掺沙、扩穴、客土等措施,以加厚土层,改良土壤通气状况,提高土壤肥力,改良根系生长条件。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40006,盐碱地育树苗的几个问题,,,,新农业,1002-4298,1973 年 07 期,25,"1.圃地选择和土壤改良圃地应选择土壤肥沃,水源充足,能灌能排,地下水位低于1.2米,土壤全盐量在0.2%以下的轻度盐渍土,对杨树、刺槐、辽宁沙枣、尖叶花曲柳、桑、柳、紫穗槐等树种育苗,均可达到较好效果。如地势低洼,排水不良,盐分较重的盐碱地,可建台田淋盐洗碱,台面宽10～20米,长依地形地势而定,一般为100～300米。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40007,发润土壤改良剂对盐碱地土壤改良效果试验,黄然;  刘多红;  党学敏;  苗书坤; ,和田二二四团机关;  和田二二四团一连; ,,农村科技,1002-6193,2010 年 12 期,21-22,"224团目前已建成1.2万公顷自压节水灌溉特色林果种植基地。由于管理制度不健全、规划设计缺乏排水系统等诸多因素,导致部分土壤次生盐渍化现象严重。2010年4月,为降低土壤含盐量,提高土壤通透性,以提高林木生长水平,提高产量和改良品质,224团农业科技发展中心进行了发润土壤改良剂试验设计,在学校绿化带、一连骏枣园进行了为期半年的试验。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40008,吉林省西部经济树种治理盐碱地模式研究,钟文玉;  张孝波;  谭明霞; ,吉林省通化市二道江区林业局; ,盐碱地;  模式;  经济树种;  对比试验; ,防护林科技,1005-5215,2016 年 12 期,23-25+45,"通过对盐碱地适宜经济树种的筛选,按照自然环境中树种与草种搭配、树种与树种搭配等盐碱地治理模式,并以造林成活率、经济效益、治理前后土壤有效成分等为主要指标开展了对比试验,选出经济效益好、治理效果明显的优良经济树种,结果表明:西伯利亚白刺、宁杞一号、大麻叶及内蒙古种源沙枣等耐盐碱树种,从存活率方面看,枸杞新品种对于中度盐碱地治理表现最好;西伯利亚白刺羊草复合模式对于重度盐碱地治理表现较好;内蒙古种源沙枣模式对于轻度盐碱地治理表现中等。从经济效益方面看,枸杞模式最好;改良土壤方面看,西伯利亚白刺模式最好。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40009,北方泥质海岸防护林生态工程的研究,李绍忠; ,辽宁省林业科学研究院; ,防护林，土壤盐渍化，造林，泥质海岸; ,应用生态学报,10019332,1996 年 7 卷 02 期,,对泥质海岸防护林体系建设中造林树种选择、土壤改良和生态工程造林技术措施的分析表明，在轻度盐碱地可栽植绒毛白蜡、群众杨、刺槐、１０９柳；在中度盐碱地修台田并压沙后可栽植沙枣、群众杨、刺槐、绒毛白蜡及辽河杨耐盐品系；在苏打盐渍土地修台田压稻乱后栽植沙枣、辽河杨耐盐品系；在重盐土地上进行土壤改良及工程措施后栽植柽柳、沙枣．...,枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40010,不同改良措施对关中典型设施盐碱土质量的影响,陈智坤;  冯璞阳;  井光花;  张锋;  任英英;  黄标; ,陕西省生物农业研究所;  陕西省科学院土壤资源与生物技术应用重点实验室陕西省西安植物园(陕西省植物研究所); ,改良措施;  盐碱土;  设施土壤;  土壤肥力综合指数; ,北方园艺,1001-0009,2020 年 020 期,83-91,"为改善关中典型设施盐碱土质量,通过在大荔盐碱土中对设施冬枣种植区设置常规管理(S0)、生物有机肥(S1)、农家土粪肥(S2)和玉米秸秆覆盖(S3)4个改良土壤处理,以土壤肥力综合指数(IFI)为评价指标,分析了不同改良措施对关中典型设施盐碱地不同土层质量的影响,以期改善关中典型设施盐碱土质量.结果表明:改良措施不同程度地降低土壤碱性和盐性;生物有机肥和腐熟牛粪添加显著降低土壤pH,而玉米秸秆覆盖对土壤pH无显著影响,但玉米秸秆覆盖脱盐率最高;改良措施总体提高土壤养分和土壤肥力综合指数,且不同改良措施对各土壤养分含量和土壤肥力影响有所差异;生物有机肥和农家土粪肥显著提高盐碱化土壤养分和肥力,生物有机肥使0~20 cm的土壤阳离子交换量、碱解氮、有机质、速效磷、速效钾和土壤肥力综合指数分别增加了29.1%、262.4%、35.9%、596.8%、91.9%和71.5%;秸秆覆盖在一定程度上增加耕作层土壤肥力指数,但对深层土壤肥力的提高有限.因此,关中典型设施盐碱地综合改良过程合理施用生物有机肥对土壤整体质量具有明显改善效果.",枣树建园
