index:ID,name,作   者,作者机构,关键词,期刊名称,i s s n,年卷期,页   码,摘   要,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20001,气象条件与大枣产量相关性研究,李书君;  范兰艳;  姜红;  梁群;  张富荣;  李季;  刘健; ,辽宁省朝阳市气象局; ,温度;  大枣产量;  相对湿度;  相关性;  降水量;  日照; ,现代农业科技,1007-5739,2015 年 08 期,253-254,"分析朝阳地区多种气象因子对当地大枣产量的影响,以为做好农业气象服务工作提供参考。运用气候统计学方法和回归分析法,对朝阳市1981—2005年20年间的大枣产量和气象观测资料做回归分析,结果表明:大枣产量与5—8月降雨量、6月平均相对湿度、年日照时数、1月最低气温和6月平均气温都具有明显的相关性。当5—8月降雨量≥300 mm、6月平均相对湿度≥60%、4—9月日照时数≥1 450 h、1月最低气温≥-30℃、6月平均气温≥20℃时,若无病虫害、人为等因素影响,大枣产量较高。可见从抽芽到果实成熟直至休眠期,适宜的气象条件在每一个环节中都至关重要。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20002,武威市发展红枣产业的气候条件适宜性分析,李英; ,武威市气象局农业气象试验站; ,气候条件;  温度;  光照;  降水;  红枣; ,农业与技术,1671-962X,2012 年 32 卷 11 期,41,"依据红枣生物学特性,对武威市红枣种植区多年气候进行分析表明:该区域积温多、光照强、日照长且太阳辐射量大,是红枣高产优质的有利条件,而降水量偏少、空气干燥必须依靠灌溉解决,但总的来说,发展红枣产业利多弊少,应合理利用气候资源优势大力拓展种植面积,促进红枣优质高产。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20003,新疆焉耆地区红枣种植的优劣势分析,董志华;  刘莹莹;  卢翠琴;  樊占军;  李红玉; ,新疆机场（集团）有限责任公司哈密机场;  山西大同市气象局;  新疆耆县气象局;  新疆库尔勒机场空管业务部; ,温度;  低温冻害;  大风;  红枣;  日照; ,新疆农垦科技,1001-361X,2012 年 05 期,44909,"近年来红枣在新疆得到了前所未有的发展,尤其是环塔里木盆地凭借得天独厚的自然条件,已经成为全国最大的优质红枣生产基地,每年种植面积和产量分别以65%和63%的速度增长[1]。巴州地区以若羌、且末红枣产业的发展最为突出,而焉耆盆地是较为典型的大陆性气候,但又具有盆地气候特征。焉耆县自上世纪80年代开始有红枣种植,但是由于各种原因没有能实现规模种植,本文通过对近年来焉耆地区红枣种植优劣势的分析,对红枣产业的发展提出一些观点。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20004,尉犁县红枣种植气候条件分析,仇会民;  邢燕江; ,新疆尉犁县气象局; ,温度;  降水;  极端天气;  红枣;  日照; ,新疆农垦科技,1001-361X,2014 年 09 期,47-49,"本文通过对红枣在各个物候期所需要的气候条件与尉犁县30年(1981—2010年)的气候资料进行对比分析,得出:尉犁县的温度、温差、日照、风、积温、降水等气候条件较为适宜红枣大面积种植和优质红枣的形成,同时,针对影响红枣生长发育的极端气候条件提出了一些的对策和建议。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20005,环境条件对黄土丘陵区旱坡地枣树水分蒸腾的影响,卢桂宾; ,山西省林业科学研究院; ,温度;  枣树;  光照;  叶片蒸腾量;  湿度;  黄土丘陵区; ,东北林业大学学报,1000-5382,2001 年 29 卷 04 期,131-133,"以石楼木枣为试材 ,采用LI - 16 0 0稳定气孔计测试方法 ,对空气温度、光照和空气湿度与枣树叶片蒸发量的关系进行了研究。结果表明 ,晋西黄土丘陵区 ,枣树叶片蒸腾量与空气温湿度和光照具有显著相关性。由此建立起的回归方程为 : y =- 0 .746 +0 .0 76x1+0 .0 0 8x2 (其中a =- 0 .746 ,b1=0 .0 76 ,b2 =0 .0 0 8)。空气相对湿度与叶片蒸腾量的直线回归方程为 : y =3.5 2 4- 0 .0 41x(其中a =3.5 2 4,b =- 0 .0 41)。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20006,温度、光照及PEG-6000胁迫对绵枣儿种子萌发的影响,岳桦;  原英东;  李玉珠; ,东北林业大学; ,温度;  光照;  绵枣儿;  种子萌发;  PEG-6000胁迫; ,东北林业大学学报,1000-5382,2012 年 40 卷 01 期,25-27+31,"为构建宿根花卉绵枣儿种子育苗高质量的技术流程提供科学依据,研究了不同温度、光照、聚乙二醇-6000(PEG-6000)胁迫对种子萌发的影响。结果表明:绵枣儿种子萌发的需光性为不敏感的中性特征,温度是决定绵枣儿种子萌发的主要因素,20～30℃变温为绵枣儿种子萌发最适温度,恒温抑制种子萌发;绵枣儿种子萌发过程体现其具有抗旱性,其随PEG-6000质量浓度的升高,种子发芽率先升高后降低,发芽指数、活力指数均呈下降趋势;绵枣儿种子经过PEG-6000(质量浓度为25 g.L-1)胁迫后复水萌发有利于提高其发芽率,保证出苗整齐,矮化种苗。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20007,培养条件对台湾青枣组织培养的影响,任敬民;  胡民强;  文素珍;  罗满源; ,佛山科学技术学院生命科学学院园艺系; ,温度;  组织培养;  光照;  pH值;  台湾青枣; ,湖北农业科学,0439-8114,2007 年 46 卷 01 期,37-39,"研究了温度、光照、pH值对台湾青枣愈伤组织的影响。结果表明,温度在24～31℃范围,愈伤组织的生长量随温度的升高而增加。光照时间越长,愈伤组织生长量越有递增趋势,当光照时间达到24h时,愈伤组织增加最多。pH值在5.5～7.0范围内时,越接近6.0,越有利于愈伤组织的产生。故台湾青枣愈伤组织生长的适宜温度为31℃,光照为24h,pH值为6.0。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20008,红枣直播建园不同树形光照与果实分布特点的研究,蔺金龙;  张琦;  吴翠云;  陈江;  蒋媛;  位杰; ,塔里木大学植物科学学院; ,直播建园;  光照;  骏枣;  树形;  果实; ,新疆农业科学,1001-4330,2016 年 53 卷 03 期,437-444,"【目的】研究红枣直播建园不同树形的光照强度和果实分布特点,探讨其对果实产量和品质的影响,确定最优树形,为提高红枣产量和品质提供依据。【方法】以第十四师224团直播建园的骏枣枣园为试材,采用圆柱形、三主枝中干形、小冠疏层形永久株Ⅰ、小冠疏层形永久株Ⅱ4种树形,测定光照强度和果实数量的空间分布以及不同层次的果实品质。【结果】4种树形光照强度表现为:随着树冠高度升高而增强,光照强度分布顺序为:小冠疏层形>圆柱形>三主枝中干形;4种树形的光照分布为:北面最弱,其它方向较为均匀。不同树形的果实品质随着果实着生部位升高而增加,树冠顶部果实性状最好,树冠北面的果实品质较差。【结论】枣树冠层的光照分布对果实分布和品质有直接影响,小冠疏层形在光照和坐果分布上明显优于圆柱形和三主枝中干形。",枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20009,光照和季节对南酸枣(Choerospondias axillaris)家系叶绿素荧光参数的影响,李光友;  徐建民; ,光照;  季节;  南酸枣(Choerospondias axillaris)家系;  叶绿素荧光参数; ,分子植物育种,1672-416X,2020 年 12 期,4097-4104,"以51个南酸枣家系为研究对象,研究光照及季节对幼苗叶片荧光参数的影响,采用叶绿素荧光参数指标Fv、Fm和Fv/Fm的变化对南酸枣家系进行综合评定。结果显示:南酸枣作为阳性乡土树种,其嫩叶/老叶在白天和晚上表现出不同的荧光强度变化,具体为:嫩叶>老叶,白天>晚上;不同家系的Fv、Fm均表现出极显著差异,两种参数综合表现最优家系是7号,无论光照或季节影响,现实光能吸收力和吸光潜力均位居前列;通过对光照变化影响下的光合转化效率Fv/Fm指标分析,其结果为白天>晚上,其中表现最优的5个家系是2号、42号、27号、13号和18号;通过对季节变化影响下的光合转化效率Fv/Fm指标的分析,其结果为雨季>旱季,表现最优的5个家系是2号、37号、13号、27号和23号;综合光照和季节影响下的Fv/Fm变化幅度,光能转换效率高且抗性优良的5个家系是40号、26号、18号、49号和42号,其中18号、26号和40号家系来自饶平种源,42号家系来自连山种源,49号家系来自全州种源,表明由于种质资源的分化,形成了不同家系的适应能力和抗性差异,这种差异有利于抗性育种。",,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D20010,光照与温度互作对酸枣种子萌发的影响,黄琴;  田伟; ,河北省农林科学院经济作物研究所; ,温度;  光照;  酸枣;  种子萌发; ,河北农业科学,,2021 年 003 期,"58-60,75","研究光照与温度互作对酸枣种子萌发的影响,可为酸枣种子育苗提供技术支撑。在人工气候培养箱内模拟不同的光照和温度条件,其中光照条件设光照（光照强度5 000 lx）和黑暗（用双层锡铂纸将培养皿完全包裹） 2种,温度均设5、10、15、20、25、30和35℃计7个水平,研究了光照、温度及其互作对酸枣种子发芽率、发芽势和发芽指数的影响。结果表明:光照条件对酸枣种子发芽率无显著影响;温度及其与光照互作对酸枣种子萌发影响极显著。温度低于20℃时,酸枣种子不能萌发。温度20～35℃范围内,酸枣种子的发芽率、发芽势和发芽指数均随温度升高呈先升高后降低的变化,其中,在光照条件下30℃培养的指标值均最高,分别为56%、43%和3.35;在黑暗条件下25℃培养的指标值均最高,分别为62%、38%和2.80。酸枣种子在黑暗25℃条件下培养,萌发效果最好。",枣树种植基础知识
