index:ID,name,作   者,作者机构,关键词,期刊名称,i s s n,年卷期,页   码,摘   要,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60001,灌水量对骏枣嫁接当年生长及结果的影响,陈奇凌;??王晶晶;??郑强卿;??花东来;?,新疆农垦科学院林园研究所;?,灌水;??结果;??骏枣;??生长;??嫁接;?,黑龙江农业科学,1002-2767,2014 年 01 期,87-90,"为指导骏枣生产,提高效益,采用随机区组排列方法,研究了不同灌水量对骏枣幼树生物量差异(地径、株高、侧枝、根系)及结果情况(株产、果形指数、产量)的影响。结果表明:枣树地径生长量明显随灌水量的增加而增加,于6月24日枣头摘心后,基本全年株高生长结束,说明枣树的节间拉长生长较为有限;须根数及长度在8月后增加较多,在数量上以≥2mm根系为主,长度上主根不及须根;在果型指数方面,果实横径的变化量大于纵径的变化量;处理1(380m3)灌水量最小,而产量最高,达17.7t·hm-2,相比处理4(500m3)增产78.8%,节水24%,说明在红枣果实生长发育过程中,应将灌溉量控制在一定的范围。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60002,不同树形对毛叶枣结果的影响,薛进军;??周咏梅;?,广西大学农学院;?,整形修剪;??结果;??毛叶枣;?,果树学报,1001-7364,2005 年 22 卷 01 期,82-84,"毛叶枣树形试验表明,纺锤形与开心形相比,具有产量高、果实品质好,节省架材等优点。纺锤形果实产量比开心形高,枝叶重量比开心形低。2次结果试验表明,纺锤形果实采收后,留中央领导干和大枝基枝回缩修剪,结合盛花期环剥,能在10月和1月收2次果,产量显著高于收1次果。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60003,微生物菌肥对梨枣生长及结果的影响试验,崔鹤宇;?,沧州市林业科学研究所;?,产量;??梨枣;??结果;??施用量;??菌肥;??生长;?,河北林业科技,1002-3356,2013 年 02 期,10月11日,"为了检验微生物菌肥对梨枣生长及结果的影响,2012年在沧县及青县进行了田间试验。结果表明:微生物菌肥对梨枣树有促进生长作用,有效提高坐果率和单果重,且有明显的增产效果,每公顷施用3kg增产增质效果更显著,坐果率比对照提高1.06%,单果重增加35.1%,增产高达14.4%。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60004,枣果采摘后管护七步走,邢洪军;?,山东省枣庄市山亭区西集镇农技站;?,施基肥;??采摘后;??过磷酸钙;??土壤耕翻;??枣果;??生长结果期;??有机肥;??管护;?,农家致富顾问,1003-9902,1003-9902,,,枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60005,盛果期红枣园主要管理措施,故丽米热·卡克什;??木合塔尔·扎热;?,新疆林业科学院经济林研究所;?,新疆林业科学院经济林研究所;?,农村科技,1002-6193,2019 年 04 期,55-57,"本文从清园、修剪、土肥水管理、病虫害防治方面总结盛果期红枣园休眠期、生长发育期、果实采收后土壤封冻前管理措施,供果农参考。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60006,设施灵武长枣盛果期管理技术,杨文军;??付晓;??何世雄;?,宁夏仁存渡护岸林场;??灵武市大泉林场;??宁夏回族自治区灵武市北沙窝林场;?,盛果期;??管理技术;??设施灵武长枣;?,现代农业科技,1007-5739,2018 年 014 期,"98,101","结合多年设施灵武长枣生产实践管理经验,依据各生育期特点对盛果期设施灵武长枣管理技术进行了总结,以期为设施灵武长枣产业发展提供相关技术参考.",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60007,矮化密植盛果期灰枣树的修剪技术,王超;?,新疆生产建设兵团第一师六团林业站;?,盛果期;??修剪;??灰枣;?,农家顾问,1003-7152,2015 年 04 期,90-91,"想让灰枣树一直高产、稳产,具有良好的经济效益,整形修剪是必不可少的一项重要措施。通过修剪可以加速枣树树冠形成,使枝条配置合理,主从分明,平衡对称,骨架牢固,提高负载力。通过正确的修剪,可调节养分水分的分配方向,控制营养生长与结果向有利人们所需要的方向转化,即树要长得好,果要结得早,产量要高,质量要好,衰老期来的晚,经济结果年限长。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60008,灵武长枣盛果期周年管理技术,李国林;??杨晓芸;??杨丽娟;?,宁夏灵武市郝家桥林业工作站;??宁夏灵武市林业技术推广服务中心;?,灵武长枣;??周年管理;??盛果期;?,中国园艺文摘,1672-0873,2012 年 04 期,170-171,"结合多年的生产实践,从整形修剪、病虫害防治、土肥水管理等方面对灵武长枣盛果期周年管理技术进行总结。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60009,不同修剪方法对鲁北冬枣盛果期树生长结果的影响,门福柱;??郭刚;??王学锋;??贾立新;??刘庆革;?,山东省东营市利津县林业局;?,盛果期;??效果;??鲁北冬枣;??修剪方法;?,落叶果树,1002-2910,2004 年 36 卷 05 期,10月12日,"1 997～ 2 0 0 3年 ,连续 7年进行了不同修剪方法对鲁北冬枣盛果期树生长结果影响的比较试验。结果表明 ,修剪处理 (合理冬剪加花期枣头摘心 )树的根量、冠幅、干周、枣头特别是强壮枣头有效二次枝数量、枣股尤其是壮龄枣股数量等均明显大于主干环剥树 ,产量显著提高 ,果品质量 (果重、全糖含量等 )有所改善。对枣股枣吊叶片的测定表明 ,在 6月 3 0日以前及果实发育中后期 ,其全糖和全氮含量明显提高。树体营养水平的提高 ,促进了根、枝条和果实的生长发育。",枣树管理
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D60010,枣树开甲七注意,邢银田;?,河北省鸡泽县科协;?,枣树;??盛果期;??平行线;??形成层;??开甲;??木质部;??树干直径;??树龄;?,山西果树,1005-345X,2007 年 000 卷 003 期,54-55,"①时期要抓准.在花开50％时开甲最适宜.②树龄要适宜.一般进入盛果期都可开甲,但树龄不满7年生或树干直径不足10cm时不宜开甲.③开甲要细心.应先扒掉2cm宽的老皮,然后绕树干画两条平行线,甲口上方往下切,下方往上切,深达木质部,不伤木质部形成层.④甲口要逐年上移.开甲要从主干距地面30cm处开始,逐年向上移3~5cm,当甲口到分枝处时再重新从下部开始.",枣树管理
