index:ID,name,作   者,作者机构,关键词,期刊名称,i s s n,年卷期,页   码,摘   要,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50001,甘肃省张掖市野生沙枣的表型多样性及观赏性分析,曾郅涵;  李庆卫;  遆羽静;  ,北京林业大学园林学院;  ,主成分分析;  表型性状;  沙枣;  观赏价值;  多样性指数;  聚类分析;  ,植物资源与环境学报,1674-7895,2021 年 30 卷 004 期 ,无,"在甘肃省张掖市选择野生沙枣(Elaeagnus angustifolia Linn.)集中分布的4个样点,以果色、叶色和株形为标准初选出40株样株,比较了各样株15个表型性状的变异性和多样性,同时通过相关性分析、主成分分析和聚类分析探讨了沙枣表型性状的关联性和观赏特性.结果 表明:沙枣的果实颜色、叶表颜色、叶背颜色和树冠圆整度4个质量性状,以及果实纵径、果实横径、果形指数、叶长、叶宽、叶形指数、株高、冠幅、枝下高、分枝角度和分枝数11个数量性状均有不同程度差异.从质量性状的分布频度看,果色以橙红色为主、叶色较浅且株形较为杂乱;11个数量性状的变异系数(CV)均值为27.03%,以果实横径的CV值最小(10.29%)、枝下高的CV值最大(104.77%),总体上与株形相关性状的CV值均较大.质量性状的Shannon-Weaver多样性指数(H')均值为1.19,以叶表颜色的H'值最大(1.34)、树冠圆整度的H'值最小(1.00);数量性状的H'均值为2.76,以叶形指数的H'值最大(3.58)、分枝数的H'值最小(1.58);数量性状的H'值均高于质量性状.4个质量性状间,仅果实颜色与叶表颜色呈显著(P<0.05)负相关;11个数量性状间多数性状无显著相关性,但果实纵径和果实横径与果形指数、叶长和叶宽与叶形指数、冠幅和枝下高与分枝数均存在显著或极显著(P<0.01)相关性;质量性状与多数数量性状间无显著相关性,仅果实颜色与果实横径和果形指数分别呈极显著正相关和极显著负相关,树冠圆整度与冠幅呈显著正相关.主成分分析结果表明:前6个主成分的累计贡献率达76.98%,基本能反映沙枣表型性状特征,包括与果实、叶片和株形有关的大部分性状.聚类分析结果表明:在欧氏距离20处,40株样株分为3组,分别包含18、12和10株样株;在欧氏距离11处,组Ⅰ和组Ⅲ又各自分为2个亚组;总体上看,组Ⅰ样株的树冠较圆整,株高和枝下高均较高,果实颜色鲜艳;组Ⅱ样株的树冠圆整且树冠大,枝下高较低,多呈大灌木状,叶片圆而宽,叶背颜色更偏银白;组Ⅲ样株的树冠较为杂乱,果实和叶片狭长,叶色更偏银白.综合分析结果显示:沙枣的表型性状变异丰富,多样性较高.根据果实(颜色、大小和形状)、叶片(颜色、大小和形状)和株形(树冠圆整度、枝下高、分枝数和冠幅)相关性状可对沙枣的观赏性进行评估. ",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50002,枣观赏鲜食兼用新品种鲁枣7号的选育,单公华;  周广芳;  沈广宁;  张琼;  王长贵;  孙世正;  ,平度市林业局;  ,鲜食;  枣;  品种;  选育;  鲁枣7号;  观赏;  ,中国果树,1000-8047,2011 年 05 期 ,4-6+77,"鲁枣7号是枣观赏品种磨盘枣自然实生,是枣观赏鲜食兼用新品种。果实磨盘形,极具观赏价值;平均单果重8.6 g,最大单果重9.3 g,果实紫红色;果肉绿白色,肉质细,酥脆,汁液多,风味酸甜,鲜食品质上等;鲜枣可溶性固形物含量37.50%,可食率94.00%,出干率51.00%,维生素C含量3 370.0 mg/kg,无裂果;在山东省泰安市,9月中下旬果实成熟,果实生长期95～105天。2010年12月通过山东省林木品种审定委员会审定。 ",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50003,观赏兼鲜食大枣——盆枣2号,姜闯;  ,江苏省泗洪县五里江农场;  ,新农村,1008-2182,2004 年 03 期 ,13,"盆枣2号是江苏省泗洪县五里江农场华夏星火果树良种场鲜食大枣育种中心,于1999年选育成功的适宜盆栽的,兼有观赏与鲜食的珍稀大枣新品种。其优良性状为:①早果丰产。",,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50004,制干枣新品种‘陕北长枣’,高文海;  李新岗;  王长柱;  张学武;  ,西北农林科技大学园艺学院;  西北农林科技大学林学院;  ,枣;  制干;  品种;  ,园艺学报,0513-353X,2012 年 39 卷 12 期 ,2533-2534,"‘陕北长枣’是从‘木枣’中选育出的红枣制干品种。平均单果质量14.3g,最大果质量23.2g,制干率为58.0%,制干枣含糖量72%,含酸1.3%,制干品质优良。抗旱耐寒,抗炭疽病和缩果病,较少受到绿盲蝽危害,较抗裂果。适宜在陕晋黄河沿岸枣区栽植。 ",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50005,枣晚熟制干新品种'晋园晚红'的选育,陈红玉;  马光跃;  杨俊强;  申仲妹;  贺润平;  ,山西农业大学园艺学院;  山西农业大学植物保护学院;  ,枣;  新品种;  制干;  晚熟;  ‘晋园晚红’;  ,中国果树,新疆农村贫困问题与精准扶贫对策研究,,2021 年 001 期 ,"86-88,109",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50006,枣制干新品种‘鲁枣12号’的选育,张琼;  王中堂;  单公华;  周广芳;  ,山东省果树研究所;  ,枣;  ‘鲁枣12号’;  新品种;  制干;  选育;  ,中国果树,1000-8047,2018 年 06 期 ,77-78,"‘鲁枣12号’系由‘圆铃1号’实生后代中选育而出。果实倒卵形,平均单果重17.4 g;果皮紫红色,果肉绿白色,致密,汁液中多,味酸甜,可溶性固形物含量36.5%,可食率96.7%,制干率62.8%,鲜食品质中等,制干品质上等;在山东省泰安地区9月中旬果实成熟。裂果轻,落果轻,早实丰产。 ",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50007,枣优良制干品种——‘方木枣’的选育,高文海;  李新岗;  王长柱;  张学武;  宋晓斌;  ,西北农林科技大学林学院;  陕西省果树研究所;  ,‘方木枣’;  枣;  制干品种;  ,果树学报,1009-9980,2013 年 02 期 ,325-327+180,"‘方木枣’是从陕北枣区地方品种木枣的优良变异株系中选出的枣制干品种,果实为卵圆或短柱形,平均单果质量12.25 g,最大单果质量22 g,果实大小整齐,制干率58.6%,果皮着色浓、赭红色,品质优良。陕北枣区4月下旬开始萌芽,5月下旬始花,10月上中旬进入完熟采收期,果实生育期110 d,10月下旬落叶。该品种丰产稳产,抗裂性较强,耐寒,耐瘠薄,抗病虫,适宜在陕西东北部和山西西北部黄河沿岸栽植。 ",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50008,抗裂制干枣新品种‘阎良相枣’,李新岗;  黄建;  高文海;  张抗战;  同金霞;  ,西安市阎良区林果站;  西北农林科技大学林学院;  ,抗裂果;  枣;  品种;  晚熟;  ,园艺学报,0513-353X,2004 年 34 卷 03 期 ,418,"‘阎良相枣’为优良制干枣晚熟新品种。果实中等大小 ,扁圆形 ,平均单果质量 9 5g ,最大果 15 g ,平均单核 0 4g ,鲜枣可食率 96 % ,可溶性糖 2 9 2 % ,有机酸 0 31%。果皮赭红色 ,韧性强 ,极抗裂 ,适宜制干 ,制干率 4 6 %。制干后 ,干枣果肉饱满 ,富有弹性 ,果面光亮。 ",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50009,枣制干新品种佳县油枣,李新岗;  ,西北农林科技大学林业科学院;  ,无,中国果树,1000-8047,2003 年 30 卷 06 期 ,无,"佳县油枣是西北农林科技大学和佳县林业局从当地品种‘中阳木枣’中选育的制干晚熟品种。2001年通过陕西省林木良种审定委员会审定。果实长圆形或圆柱形,中大,单果平均重12.3g,最大19.6g,品质优.",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D50010,枣制干新品种‘佳县油枣’,李新岗;  同金霞;  张同庆;  ,陕西佳县林业局;  西北农林科技大学林业科学院;  ,枣;  品种;  晚熟;  ,园艺学报,0513-353X,2003 年 30 卷 03 期 ,373-381,"‘佳县油枣’为优良制干晚熟新品种。果实中大 ,长圆形或圆柱形 ,单果平均质量 12 .3g ,最大 19.6g ,品质优良 ,适宜制干。适宜年均气温 9～ 11℃、降雨量 390～ 5 0 0mm的北方地区栽培。 ",品种选择
