index:ID,name,character,function,rule,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70001,鲜枣采收,鲜枣的采收一定要科学，要在适当的采收期,采用不使果实损伤的方法进行釆摘，以提高枣果的商品价值，并可延长贮藏期,,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70002,鲜枣贮藏,"鲜枣又叫脆枣，其果实外形美观，风味独特，脆甜可口，营养丰富，深受广大消费者的欢迎。尤其是在枣果的脆熟期，维生素C 及其他营养成分的含量达最高值，被人们称为“活维生素丸""和“保健滋补丸鲜枣虽味甜可口，营养丰富，但采摘后如不进行保鲜处理，在室温条件下，一般自然存放5?7天即变软，失去鲜脆状态，一周后明显皱缩，维生素C含量大幅度下降，失去鲜食价值。 据试验，采摘后枣果在室温条件下存放3天果实失重5%, 5天失重 8%,并完全失去鲜脆状态。如果存放8天，失重高达14%,果实完全皱缩，维生素也大量被破坏。",可以保持鲜枣酸甜可口、鲜脆多汁和富含维生素的特点，而且对延长鲜枣市场供应期，丰富果品市场，增加枣农收入都具有极其重要的意义。,"山西农业大学、河北农业大学、山西省果树研究所等单位积极开展了鲜枣贮藏保鲜试验,先后对枣的釆后生理、冰点温度、影响贮藏期的因素和贮藏技术等进行了研究，使鲜枣贮藏期达到60?90天，好果率可达50%? 90%,并能保持果实原有的风味。",枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70003,红枣采收,,,,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70004,红枣贮藏,,,,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70005,鲜枣的成熟过程,鲜食枣果在成熟过程中，按果皮颜色和肉质的变化情况，可以划分为白熟期、脆熟期两个阶段。鲜食枣一般在完熟期之前就已釆收，所以，其枣果成熟过程没有完熟期。如果采收过晚，枣果就会进入完熟状态，此时鲜食品质已下降,,,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70006,鲜枣采收适期,"鲜枣采收适期主要依品种成熟期而定，用于鲜食的枣果以果皮 完全转红后的脆熟期为采收适期。此时枣果甘甜微酸、松脆多汁, 完全具备了本品种的特有风味","用于鲜枣贮藏的果实，要适当早采, 以初红至半红期采摘为宜，此时采收利于保鲜，全红果耐贮性最差",,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70007,鲜枣采收方法,鲜食枣的采收方法不同干制红枣的采收方法。既不能用杆打的方法，也不宜采用乙烯利催落法采收。因为杆打采收容易使鲜果受伤，影响果实的外观品质，同时对鲜枣贮运也不利；用乙烯利催落采收，对于鲜食品种果实来说，容易造成采前失水量过大，使肉质变软失脆，也使鲜食品质下降。 ,,人工采摘是目前唯一适用于鲜枣的采收方法。枣果采摘直接关系着鲜枣的商品质量和价格，所以鲜枣的釆收一定要科学化。人工采摘枣果要做到轻摘、轻放、轻装、轻卸。采摘时切忌用手揪拉果实，或者是拧拉果实，这样会使果柄与果实断开，在果柄端留下伤口。果柄处的伤口很容易感染病菌而使鲜枣腐烂，所以采摘时尽可能保留果柄。具体采摘方法是一手托牢枣果，一手用疏果剪从果柄与枣吊连接处剪断果柄。这样不会因在摘果时枝条晃动而引起其他枣果的摩擦损伤。随身携带的装果容器内壁一定要光滑无刺。一般不用书包等软器具盛果，可用果篮、塑料桶、果盘等盛装。倒入大箱或大果筐时一定要轻，不要碰伤果实。,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70008,鲜枣的包装,鲜枣采收下来以后要分级包装，精美的包装是提高商品价值的重要手段。鲜枣包装不仅可使鲜枣保鲜、减少损耗，也便于鲜枣的贮存和运输。设施条件下生产的鲜枣，包装更为要。,,,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70009,影响鲜枣贮藏保鲜的因素,枣果贮藏效果的好坏，在很大程度上决定于采收以后的处理措施。枣果在适宜的温度、湿度和气体成分的条件下，贮藏寿命可以延长。但枣树品种及其在采前的栽培措施、栽培环境等，对枣果的贮藏性也有很大的影响。,,,枣果采收与贮藏
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R70010,鲜枣贮藏保鲜技术,"红枣贮藏与温、湿度有很大关系。红枣长期贮藏需要干燥、冷凉和避光的环境条件，还要注意防虫、防鼠。贮藏期间温度高、湿度大，则红枣内营养物质损失越快,容易引起发霉变质。在我国各大枣产区，红枣的贮藏方法比较多，常用的有缸藏、囤藏、棚藏等。 ",通过科学、合理的贮藏可以延长枣果的保鲜期。,,枣果采收与贮藏
